제목,링크,소관부처_지자체,pblanc_id,벡터스토어 저장
[경북] 2025년 벤처기업 육성자금 운용계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103499,경상북도,PBLN_000000000103499,True
[대구] 달성군 2025년 기술중소기업 특례보증 지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103483,대구광역시,PBLN_000000000103483,True
[경기] 부천시 2025년 특례보증 지원 계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103458,경기도,PBLN_000000000103458,True
[부산] 사상구 2025년 소상공인 보증료 지원사업 대상자 모집 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103467,부산광역시,PBLN_000000000103467,True
[울산] 2025년 식품진흥기금 융자사업 시행 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103452,울산광역시,PBLN_000000000103452,True
[제주] 2025년 중소기업육성자금 융자지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103449,제주특별자치도,PBLN_000000000103449,True
[울산] 2025년 1차 소상공인 경영안정자금 융자지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103445,울산광역시,PBLN_000000000103445,True
[경남] 진주시 2025년 중소기업 개별 수출보험료 지원사업 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103434,경상남도,PBLN_000000000103434,True
[부산] 2025년 중소기업 자금지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103423,부산광역시,PBLN_000000000103423,True
[인천] 2024년 중소기업 긴급 경영안정자금 지원 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103377,인천광역시,PBLN_000000000103377,True
[전북] 2025년 중소기업 육성자금 융자 지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103392,전북특별자치도,PBLN_000000000103392,True
[충북] 2025년 중소기업육성자금 융자(이차보전) 지원계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103387,충청북도,PBLN_000000000103387,True
[경북] 2025년 창업 및 경쟁력강화 사업자금 지원 계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103381,경상북도,PBLN_000000000103381,True
2025년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103358,중소벤처기업부,PBLN_000000000103358,True
2025년 중소기업 정책자금 융자계획 공고,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000103364,중소벤처기업부,PBLN_000000000103364,True
소상공인 정책자금(직접대출) 3차 만기연장 지원 안내,https://www.bizinfo.go.kr/web/lay1/bbs/S1T122C128/AS/74/view.do?pblancId=PBLN_000000000084853,중소벤처기업부,PBLN_000000000084853,True
